#61554	#61554	['#61554' 'trauma' 'traumatic' '#90995' '#61615']	5
#74905	#74905	['#74905' '#77432' '#73937' '#90843' '#66294']	5
deferment	deferment	['deferment' 'deferral' '#4370' '#3264' 'remission']	5
zing	zing	['zing' 'tamer' 'governess' 'footpath' '#45237']	5
appetite	appetite	['appetite' '#138143' '#34422' 'hypersensitivity' '#23947']	5
radio beacon	radio beacon	['radio beacon' '#19610' 'wind generator' '#144560' '#175616']	5
#149322	#149322	['#149322' 'carelessness' 'inattention' '#23712' '#27122']	5
#37298	#37298	['#37298' '#62477' '#19852' 'sticky' 'folks']	5
overlying	overlying	['overlying' '#94552' '#160016' '#156592' '#23924']	5
#37886	#37886	['#37886' 'capitalisation' 'business establishment' 'loan officer'
 '#165889']	5
#143316	#143316	['#143316' 'phenotype' '#23894' '#47416' '#83541']	5
#21495	#21495	['#21495' 'tent' 'prefabricated' 'kitchen' '#17545']	5
#85292	#85292	['#85292' '#136721' '#69916' '#123489' 'trousseau']	5
#324	#324	['#324' 'sermonize' 'beguile' 'run down' '#24540']	5
agglomeration	agglomeration	['agglomeration' '#143258' '#37237' '#39146' '#92935']	5
#69825	#69825	['#69825' 'complain' 'reprisal' 'policeman' '#66350']	5
vast	vast	['vast' 'enormous' 'huge' 'quite' '#89593']	5
#132357	#132357	['#132357' 'inspector general' '#145718' 'intelligence service' '#46691']	5
marry	marry	['marry' '#76911' 'married' '#97359' '#89640']	5
#93561	#93561	['#93561' 'signed' '#87534' '#43945' 'bidder']	5
#193481	#193481	['#193481' 'patiently' 'get on' '#194478' 'expectantly']	5
#173521	#173521	['#173521' 'pluton' '#13729' '#137129' 'bomber aircraft']	5
#77515	#77515	['#77515' '#27860' 'following' 'appropriate' '#82020']	5
#28481	#28481	['#28481' 'organic chemistry' '#28735' 'physics' '#115215']	5
#97666	#97666	['#97666' 'anthropological' 'ethnological' '#175537' 'sociological']	5
#59828	#59828	['#59828' 'symbiosis' '#23894' 'microbe' 'natural world']	5
traveling	traveling	['traveling' '#90156' '#45328' 'governess' 'well-to-do']	5
#20640	#20640	['#20640' '#15515' '#14344' 'shard' 'canister']	5
#17429	#17429	['#17429' 'jeep' 'windshield' 'four-wheel drive' '#15164']	5
#59730	#59730	['#59730' 'refractive index' 'specific gravity' 'chlorobenzene' '#24283']	5
opaque	opaque	['opaque' '#84226' '#83664' 'opacity' '#143313']	5
#119879	#119879	['#119879' 'page' '#189829' 'website' 'circulate']	5
#85738	#85738	['#85738' '#91538' 'blunt' '#25517' 'elbow']	5
#33603	#33603	['#33603' 'eye-opener' '#90744' 'glimpse' '#82258']	5
caffeine	caffeine	['caffeine' '#63479' '#94489' '#8478' 'aphid']	5
#78602	#78602	['#78602' 'industrial process' '#199698' '#317583' 'fuel combustion']	5
#311424	#311424	['#311424' 'genetic information' 'assisted reproduction' '#26054'
 'micro-organism']	5
supplies	supplies	['supplies' '#206' '#150849' 'sell' '#304962']	5
national debt	national debt	['national debt' 'public debt' '#57805' '#269827' 'money supply']	5
#23296	#23296	['#23296' 'precision' '#23366' '#30940' 'imagery']	5
jet propulsion	jet propulsion	['jet propulsion' '#48876' '#28511' '#96326' 'auroral']	5
#58510	#58510	['#58510' 'ord.' '#29263' '#29310' '#65432']	5
major power	major power	['major power' 'superpower' 'great power' '#38549' 'hegemony']	5
#288788	#288788	['#288788' 'dietician' '#157092' '#44317' '#29986']	5
exemption	exemption	['exemption' '#803' 'privilege' '#57412' 'entitlement']	5
noticeable	noticeable	['noticeable' '#183177' '#91213' '#58244' '#85704']	5
repairman	repairman	['repairman' '#48087' 'welder' '#47000' 'plumber']	5
guarantor	guarantor	['guarantor' '#45379' 'trustee' 'lender' '#43726']	5
bot	bot	['bot' '#166529' '#48092' 'condominium' 'square foot']	5
#171698	#171698	['#171698' 'come down' '#140573' '#190162' '#74737']	5
adopting	adopting	['adopting' '#143079' 'adoptive parent' 'adopter' '#89203']	5
gravimetric	gravimetric	['gravimetric' '#98237' 'echo sounder' '#89573' '#20719']	5
countervail	countervail	['countervail' '#204162' '#183869' '#275012' 'price control']	5
criticise	criticise	['criticise' 'smack' 'lese-majesty' 'churchman' 'critic']	5
#71213	#71213	['#71213' 'manipulate' '#76340' '#77294' 'facile']	5
recording machine	recording machine	['recording machine' '#19713' 'file folder' '#21957' 'portable computer']	5
#60627	#60627	['#60627' 'anaesthesia' 'coronary' '#97310' 'neurosurgery']	5
#79306	#79306	['#79306' 'drums' '#15703' 'receptacle' '#67103']	5
causal	causal	['causal' '#83142' '#59544' 'probability' 'empirical']	5
tax avoidance	tax avoidance	['tax avoidance' '#4423' 'tax evasion' '#3025' 'capital flight']	5
hotel manager	hotel manager	['hotel manager' 'waiter' 'shopkeeper' 'hairdresser' '#47320']	5
remaking	remaking	['remaking' '#48618' 'heady' 'turn around' 'tame']	5
#63037	#63037	['#63037' 'titanium' 'molybdenum' 'zirconium' '#62989']	5
illegal	illegal	['illegal' '#89175' 'illicit' 'attempt' 'fight']	5
petroleum	petroleum	['petroleum' '#64471' '#64566' 'natural gas' 'oil']	5
merchant marine	merchant marine	['merchant marine' '#20370' 'merchant navy' '#149179' 'skipper']	5
irritate	irritate	['irritate' '#188814' '#144564' '#95170' '#88678']	5
#1716	#1716	['#1716' 'colonialism' 'legacy' 'liberation' 'domination']	5
background knowledge	background knowledge	['background knowledge' '#27557' 'psychometric test' 'triangulate'
 'familiarity']	5
#48618	#48618	['#48618' 'rebirth' 'brighten' '#66962' 'rediscovery']	5
#140959	#140959	['#140959' 'vinyl' 'ketone' '#21605' '#64319']	5
pension benefit	pension benefit	['pension benefit' 'retirement benefit' 'emolument' 'pension scheme'
 '#27901']	5
iodide	iodide	['iodide' '#64295' 'boron' '#65128' '#64319']	5
#312556	#312556	['#312556' 'post-industrial' 'hide-and-seek' 'predestine' '#42806']	5
one-sided	one-sided	['one-sided' 'litany' '#92051' 'unbalanced' 'cynical']	5
temporary employee	temporary employee	['temporary employee' '#171986' 'part-time worker' '#123970'
 'temporary worker']	5
#317649	#317649	['#317649' 'public funding' '#75778' 'public fund' 'public-sector']	5
self-analysis	self-analysis	['self-analysis' 'dull' '#27235' '#27434' '#23692']	5
overrun	overrun	['overrun' 'overestimation' '#78476' '#27509' '#3717']	5
#41515	#41515	['#41515' 'steppe' 'savannah' '#41516' 'tundra']	5
bald eagle	bald eagle	['bald eagle' '#6857' 'cormorant' '#63518' '#9223']	5
#186070	#186070	['#186070' 'guarded' '#21669' 'toiletry' '#22175']	5
take-off	take-off	['take-off' '#1208' 'takeoff' '#48925' '#160562']	5
accomplishment	accomplishment	['accomplishment' 'expected' '#39165' '#59670' 'assumption']	5
#47560	#47560	['#47560' 'state attorney' "state's attorney" 'legal advisor'
 'public prosecution']	5
offended	offended	['offended' 'absolution' '#148915' '#91043' 'decree nisi']	5
video disc	video disc	['video disc' 'videocassette' 'video clip' 'audio cassette' '#20162']	5
mechanic	mechanic	['mechanic' '#43794' 'electrician' '#44882' 'carpenter']	5
#83362	#83362	['#83362' 'grim' 'dismal' 'dark' 'gloomy']	5
conformity	conformity	['conformity' 'should' '#82090' '#189829' '#69191']	5
dressmaker	dressmaker	['dressmaker' '#44802' 'seamstress' '#45407' '#46473']	5
vermiculite	vermiculite	['vermiculite' '#132413' '#83905' 'non-combustible' 'gallium']	5
indulgence	indulgence	['indulgence' 'tenacity' 'kindness' '#36' 'esteemed']	5
peaceful coexistence	peaceful coexistence	['peaceful coexistence' '#321577' '#60341' 'coexistence'
 'mutual understanding']	5
#46699	#46699	['#46699' 'politician' 'decision maker' 'unfortunately' 'phenomena']	5
#46436	#46436	['#46436' 'orphan' 'widow' '#108912' 'social assistance']	5
multi-user	multi-user	['multi-user' 'expert system' 'software system' '#161645' 'user interface']	5
#94305	#94305	['#94305' 'soporific' 'hallucinogenic' 'tranquillizer' '#1002']	5
definite time	definite time	['definite time' '#123924' '#87594' '#121163' 'foster mother']	5
news agency	news agency	['news agency' '#38524' '#30721' 'wire service' '#30447']	5
winter	winter	['winter' '#65755' '#65753' '#65750' 'season']	5
#30507	#30507	['#30507' 'greeting' '#201275' 'hearty' 'salutation']	5
scarring	scarring	['scarring' '#61268' 'laceration' '#61612' '#133277']	5
international community	international community	['international community' '#139532' '#177300' '#38864' 'agree']	5
