#61554	#61554	0
#74905	#74905	0
deferment	deferment	5
zing	zing	5
appetite	appetite	0
radio beacon	radio beacon	0
#149322	#149322	0
#37298	#37298	5
overlying	overlying	0
#37886	#37886	0
#143316	#143316	5
#21495	#21495	5
#85292	#85292	0
#324	#324	5
agglomeration	agglomeration	5
#69825	#69825	5
vast	vast	4
#132357	#132357	4
marry	marry	0
#93561	#93561	0
#193481	#193481	0
#173521	#173521	2
#77515	#77515	5
#28481	#28481	2
#97666	#97666	0
#59828	#59828	0
traveling	traveling	5
#20640	#20640	5
#17429	#17429	5
#59730	#59730	0
opaque	opaque	0
#119879	#119879	5
#85738	#85738	4
#33603	#33603	5
caffeine	caffeine	0
#78602	#78602	0
#311424	#311424	5
supplies	supplies	5
national debt	national debt	0
#23296	#23296	5
jet propulsion	jet propulsion	0
#58510	#58510	5
major power	major power	5
#288788	#288788	0
exemption	exemption	0
noticeable	noticeable	5
repairman	repairman	4
guarantor	guarantor	5
bot	bot	0
#171698	#171698	0
adopting	adopting	4
gravimetric	gravimetric	5
countervail	countervail	5
criticise	criticise	0
#71213	#71213	1
recording machine	recording machine	0
#60627	#60627	4
#79306	#79306	0
causal	causal	5
tax avoidance	tax avoidance	5
hotel manager	hotel manager	5
remaking	remaking	0
#63037	#63037	5
illegal	illegal	5
petroleum	petroleum	5
merchant marine	merchant marine	5
irritate	irritate	5
#1716	#1716	3
background knowledge	background knowledge	0
#48618	#48618	5
#140959	#140959	5
pension benefit	pension benefit	0
iodide	iodide	4
#312556	#312556	5
one-sided	one-sided	0
temporary employee	temporary employee	0
#317649	#317649	0
self-analysis	self-analysis	5
overrun	overrun	0
#41515	#41515	0
bald eagle	bald eagle	4
#186070	#186070	4
take-off	take-off	0
accomplishment	accomplishment	5
#47560	#47560	3
offended	offended	5
video disc	video disc	0
mechanic	mechanic	5
#83362	#83362	5
conformity	conformity	0
dressmaker	dressmaker	5
vermiculite	vermiculite	0
indulgence	indulgence	0
peaceful coexistence	peaceful coexistence	5
#46699	#46699	5
#46436	#46436	0
multi-user	multi-user	0
#94305	#94305	5
definite time	definite time	5
news agency	news agency	5
winter	winter	5
#30507	#30507	0
scarring	scarring	1
international community	international community	4
dismissed	dismissed	5
#81992	#81992	5
#95546	#95546	5
full board	full board	5
#178808	#178808	5
sprinkle	sprinkle	0
ladder	ladder	0
philosophy	philosophy	5
freedom of assembly	freedom of assembly	0
#37102	#37102	5
#73905	#73905	5
federal state	federal state	0
ethnic	ethnic	5
#81290	#81290	5
pro se	pro se	0
supersonic	supersonic	5
#124749	#124749	5
toughening	toughening	5
manganese	manganese	2
question mark	question mark	0
#31121	#31121	0
#157436	#157436	0
astronomical	astronomical	1
ensnare	ensnare	4
#37652	#37652	0
#119246	#119246	0
#98747	#98747	5
#323809	#323809	5
lf	lf	0
#23676	#23676	5
destroyer	destroyer	5
personal	personal	4
#17219	#17219	5
poetic	poetic	5
writing	writing	3
#87648	#87648	5
dedicate	dedicate	5
mod.	mod.	5
#43209	#43209	5
#85332	#85332	0
generously	generously	5
television viewer	television viewer	5
