#61554	['#61554' 'anxiety' 'trauma' 'depression' 'symptom']	0.468084280501	0.546230518653
#74905	['#74905' '#140829' 'go to sleep' '#68019' '#76232']	0.436656070543	0.594440839436
deferment	['deferment' '#91591' '#57471' 'automaticity' '#4370']	0.411616140851	0.617457862098
zing	['zing' '#62958' '#86440' '#73413' '#313750']	0.531490327897	0.572194369399
appetite	['appetite' '#93073' 'insatiable' '#138143' 'greed']	0.398735840385	0.480580687985
radio beacon	['radio beacon' '#19610' '#180046' '#48998' 'electromagnetic induction']	0.513203311531	0.572870419967
#149322	['#149322' '#23712' 'imprudence' 'scent' '#142533']	0.493972421915	0.538939859256
#37298	['#37298' 'primitive' '#85961' '#20759' '#34879']	0.474615741054	0.546389276942
overlying	['overlying' '#64825' '#96490' '#64402' '#145967']	0.471609956332	0.483807306156
#37886	['#37886' '#37076' '#2101' '#70956' '#14295']	0.377383311263	0.531408474407
#143316	['#143316' '#41259' '#117152' 'fishmeal' 'photosynthesis']	0.421580953787	0.520769875805
#21495	['tent' '#21495' '#17545' '#13635' 'blanket']	0.484626443377	0.581380537399
#85292	['#85292' 'brain death' '#186112' 'surgical procedure' '#34879']	0.387419555178	0.545186852412
#324	['unrefined' '#1372' 'primitive' 'carnivorous' '#169704']	0.615134100673	0.554988970416
agglomeration	['#37237' '#143258' 'agglomeration' 'economic expansion' 'booming']	0.463452730039	0.488384663094
#69825	['#69825' 'complain' 'contamination' 'consequent' 'basin']	0.479860971323	0.579216437484
vast	['vast' 'impossible' '#77477' '#149918' '#59696']	0.544127789955	0.61225947577
#132357	['#132357' 'inspector general' '#92087' '#46691' 'reorganize']	0.439889312537	0.569445640228
marry	['marry' '#76911' 'married' '#97359' '#89640']	0.446259607116	0.549984036682
#93561	['signed' '#93561' 'writing' '#76856' '#25001']	0.477699029277	0.608882858278
#193481	['#193481' 'patiently' 'delight' '#39287' '#92222']	0.373707388665	0.514953066633
#173521	['#173521' 'pluton' 'oxidizer' '#10527' 'sodium hydroxide']	0.456993486205	0.514353034862
#77515	['#77515' '#82020' '#30612' '#68722' 'population']	0.42580549612	0.526538413094
#28481	['#28481' '#28442' '#115217' 'geophysics' 'geochemistry']	0.442126997468	0.527828782245
#97666	['#97666' 'anthropological' '#175537' 'ethnological' '#84773']	0.512857393095	0.562066587675
#59828	['#59828' 'amino acid' 'symbiosis' '#62836' 'symbiotic']	0.529974385349	0.563680213606
traveling	['traveling' '#34879' '#156129' 'forceps' 'town crier']	0.513368439877	0.562458559218
#20640	['#20640' 'piercing' '#26515' 'fuselage' '#2591']	0.392345726832	0.466548104635
#17429	['#17429' 'jeep' '#18783' '#15164' 'fuselage']	0.407432452314	0.501041337035
#59730	['#59730' '#62798' 'phosphoric acid' 'condensed milk' '#197802']	0.409512008438	0.492670423506
opaque	['opaque' '#84226' '#81429' 'insatiable' 'primitive']	0.481217854978	0.52740444199
#119879	['#119879' '#78189' 'document' '#23140' '#31097']	0.414290151246	0.603691007605
#85738	['#85738' '#83488' '#199666' 'lumbar' '#98324']	0.449443107896	0.524808632543
#33603	['#33603' 'skeptic' '#23626' 'primitive' 'miniaturization']	0.541098563094	0.587117060053
caffeine	['caffeine' '#37144' '#11188' 'gari' 'unrefined']	0.471743721057	0.488972685056
#78602	['industrial process' '#78602' 'energy industry' '#64430' 'lignite']	0.515335160729	0.545797088775
#311424	['#311424' 'genetic information' 'gene' '#26055' 'peptide']	0.427851068594	0.537139699442
supplies	['supplies' '#206' 'shortage' 'recurrent' '#24725']	0.49936366038	0.622591883076
national debt	['national debt' '#277152' '#57805' '#58263' 'rupee']	0.432714064622	0.525175978252
#23296	['precision' '#23296' '#4099' 'prediction' '#117295']	0.485498241391	0.579959355995
jet propulsion	['jet propulsion' '#48876' '#96660' '#41736' 'biosensor']	0.360642565622	0.460481108195
#58510	['#58510' 'wilt' 'potassium nitrate' 'mink' 'oddly']	0.476533238602	0.572544675575
major power	['major power' 'superpower' 'great power' '#136840' '#173795']	0.429960721142	0.529211648521
#288788	['#288788' '#159040' 'gym' 'gerontologist' '#44942']	0.491667629645	0.570789794708
exemption	['exemption' '#803' '#15967' '#27278' 'privilege']	0.43482737061	0.589281461191
noticeable	['noticeable' 'appreciable' 'empirical' '#81468' '#62542']	0.41576785417	0.576338591303
repairman	['fitter' 'home appliance' 'casual labour' '#48087' 'seamstress']	0.542868192579	0.506107757806
guarantor	['guarantor' '#45379' 'prime' 'sovereign state' 'prerogative']	0.443963735464	0.577409599766
bot	['bot' '#17253' '#200149' '#35296' 'horseshoe']	0.488213129985	0.607598868145
#171698	['#171698' 'prognostication' 'stagflation' 'bearish' 'stock market index']	0.490790112733	0.570181667989
adopting	['adopting' '#60741' 'sea turtle' 'energy source' '#3457']	0.526394860119	0.657825759854
gravimetric	['gravimetric' '#98237' '#179357' 'wind speed' 'wavelength']	0.470922075888	0.520384902425
countervail	['countervail' 'vanilla' 'currency appreciation' '#59096' '#184010']	0.429177570094	0.558561862534
criticise	['criticise' 'dole out' 'inattention' 'trifle' '#76197']	0.408081261678	0.550628247744
#71213	['#71213' '#69936' 'demagogic' '#173795' 'subjugate']	0.465970141202	0.534591342668
recording machine	['recording machine' 'magnetic tape' '#21957' 'pus' 'typewriter']	0.452023871259	0.564111311659
#60627	['#60627' 'anaesthetic' 'anaesthesia' 'magnetic resonance imaging' '#97822']	0.389766339504	0.49053368826
#79306	['#79306' 'drums' 'insulated' '#15703' '#85961']	0.390297167002	0.499016798423
causal	['causal' '#83142' '#59544' 'causative' 'probability']	0.428577992282	0.554622191688
tax avoidance	['tax avoidance' '#4423' 'capital flight' '#277152' '#143313']	0.434204873959	0.532387749513
hotel manager	['hotel manager' 'fitter' '#1690' 'beauty parlour' '#133843']	0.515721375387	0.556510061329
remaking	['heady' '#139153' 'remaking' 'rein in' 'nostalgia']	0.518008983999	0.51958393532
#63037	['#63037' 'titanium' 'hydroxide' '#62994' '#62874']	0.473225310249	0.499943356143
illegal	['illegal' '#89175' 'illicit' 'example' 'construction']	0.455562802819	0.575090725591
petroleum	['petroleum' '#64471' '#64240' 'hydrocarbon' '#63794']	0.441256300486	0.565183562993
merchant marine	['merchant marine' 'overfishing' 'merchant navy' '#20370' '#11963']	0.409162244038	0.574278119792
irritate	['irritate' '#66314' '#144564' 'sodium carbonate' '#73868']	0.385751074414	0.484949452465
#1716	['#1716' 'colonialism' 'apartheid' '#28694' 'legacy']	0.414725941968	0.521142176466
background knowledge	['background knowledge' 'reproducibility' 'excitability' 'iceberg'
 'subjectivity']	0.484877046921	0.583288229745
#48618	['#48618' '#97698' 'struggle for existence' 'flowering' 'materialistic']	0.421273683556	0.513648388073
#140959	['#140959' 'vinyl' '#62798' '#293841' '#64637']	0.363925167407	0.448069501755
pension benefit	['pension benefit' 'retirement pension' '#139728' 'retirement benefit'
 'old-age pension']	0.485309764614	0.602554069218
iodide	['iodide' '#64295' 'flocculation' '#64574' '#98941']	0.394116580003	0.451899506446
#312556	['#312556' 'mercantilist' '#136840' '#28212' '#26927']	0.506057024805	0.574483498936
one-sided	['one-sided' '#92234' 'demagogic' 'insolence' 'self-righteousness']	0.431615950952	0.54883049613
temporary employee	['temporary employee' '#123970' '#47766' 'family business' 'tenant farmer']	0.51401352564	0.559538793097
#317649	['#317649' 'public funding' 'public fund' 'bank loan' '#305341']	0.415671913943	0.562738969119
self-analysis	['self-analysis' 'skeptic' 'give-and-take' 'peer pressure' 'thrift']	0.465997866242	0.562088883176
overrun	['overrun' '#3717' 'miserable' '#177031' 'target range']	0.42731256443	0.620660077754
#41515	['#41515' 'steppe' 'savannah' 'heathland' '#41516']	0.40918696096	0.486041103154
bald eagle	['mink' 'peregrine falcon' '#150461' 'bald eagle' '#9223']	0.456055117135	0.44619337251
#186070	['#186070' 'conjunctive' 'referent' 'guarded' 'guardroom']	0.562697509028	0.58721632365
take-off	['take-off' '#1208' 'millimetre' '#116122' 'unsteady']	0.432988733716	0.556489141069
accomplishment	['accomplishment' 'expected' 'assumption' '#141146' '#33444']	0.491792233082	0.60117802156
#47560	['#47560' 'state attorney' "state's attorney" 'gambler' '#145899']	0.457621875798	0.569658930564
offended	['offended' 'demean' 'law-breaker' '#62209' 'inexact']	0.476020131105	0.556871234044
video disc	['video disc' 'neural' '#20805' 'chromatography' '#324533']	0.473196514843	0.574347138218
mechanic	['mechanic' '#43794' 'electrician' '#46473' 'carpenter']	0.421042737661	0.478740492631
#83362	['#83362' 'dark' 'episode' '#60264' 'depressing']	0.47140494914	0.59340500935
