#61554	['#112738' 'trauma' '#112737' 'traumatizar' '#9157']	5	0.264926862618	0.313591116741
#74905	['sesi\xc3\xb3n' 'extraviar' '#54082' '#76786' '#33676']	0	0.856621789677	0.706407471162
deferment	['aplazamiento' '#99138' '#9182' '#219745' '#7273']	5	0.624859566612	0.629263466216
zing	['#102736' 'sari' 'sargento mayor' '#33063' '#228181']	0	1.20699637343	0.555131764271
appetite	['#3806' '#5885' 'insaciable' '#12884' 'avaricia']	0	1.02175065652	0.511130789463
radio beacon	['#209867' 'radiofaro' 'baliza' '#93701' '#209158']	4	0.507338471964	0.517503305738
#149322	['imprudencia' 'perversi\xc3\xb3n sexual' 'indecencia' 'infidelidad'
 'toqueteo']	0	0.695085150765	0.508675758558
#37298	['#68222' 'lino' 'cocotero' '#29235' '#216428']	0	1.13498987982	0.367876428179
overlying	['#221840' '#2134' '#208869' '#115900' '#207875']	0	0.749063339658	0.436413188024
#37886	['#30463' '#59897' '#226376' '#254624' 'accionista mayoritario']	0	0.910570953235	0.674112222391
#143316	['#200461' '#25736' '#25735' '#275263' '#77192']	0	0.888471509637	0.619551787396
#21495	['tienda de campa\xc3\xb1a' '#22989' 'choza' '#29067' '#23985']	4	0.283878429553	0.32391606288
#85292	['receta m\xc3\xa9dica' 'pr\xc3\xb3tesis dental' 'quiropr\xc3\xa1ctico'
 '#26252' 'psicocirug\xc3\xada']	0	0.917473693983	0.530748826182
#324	['seto' '#87007' 'pocilga' 'lava' '#58643']	0	1.13341174284	0.496553734474
agglomeration	['#201542' 'aglomeraci\xc3\xb3n urbana' '#73261' 'megal\xc3\xb3polis'
 '#3925']	0	1.03869356995	0.47939229084
#69825	['#93036' '#63915' '#28566' '#251184' 'interrogar']	0	0.478471552767	0.436565482519
vast	['superficie' '#61734' 'ingente' 'riqueza' '#7403']	0	0.619753307723	0.559866462316
#132357	['#203024' 'inspector general' '#314368' '#106802' '#245858']	5	0.229699030128	0.336268383364
marry	['#6942' 'casado' '#23402' '#32017' '#72460']	0	0.461795659856	0.280384928079
#93561	['autenticado' '#248506' '#126991' 'firmado' '#217566']	1	0.461193673086	0.432770719144
#193481	['#205890' '#315191' 'adi\xc3\xb3s' 'anhelar' 'pacientemente']	5	0.50970456588	0.532237103103
#173521	['#309436' 'misil de largo alcance' '#120134' 'bombardero' '#108190']	0	0.863434172597	0.499121688159
