#69441	#26801	0.255702268492	#18096	0.256887332448	asustar	0.263841058312	#65968	0.274164058221	verdugo	0.278474598855	1	#131657	0.392603372695
#15984	#16804	0.286021305559	#7774	0.307256892154	#112779	0.328776497811	#13351899	0.332160346775	trasbordador	0.334582249427	0
infuriate	#110306	0.256269926614	exasperar	0.256702739396	#19551	0.260012134657	#11168	0.263686046778	verdugo	0.264190999339	1	desatinar	0.378964684615
#324674	#221889	0.29000665931	cancelación de la deuda	0.305695678565	#261342	0.307554543921	condonación	0.324807548346	#93433	0.339691540945	1	#261342	0.307554543921
#290160	#82116	0.244178425757	#82118	0.255619495804	delantero	0.257365659624	#36716	0.265289348309	#82698	0.269645633902	0
interrelatedness	#62400	0.369980338833	indivisibilidad	0.377984669292	#62366	0.393618527944	insoslayable	0.396025153648	#268448	0.397325574153	0
add.1-e/2003/80/add.1	declinatoria de jurisdicción	0.420864865012	de guatemala	0.420891021519	ía	0.438519777311	5715	0.441182124528	#317214	0.444164354776	0
#48544	grandeza	0.210669744454	#56054	0.211705790427	#61361	0.231688867144	gloria	0.233045922732	soñar	0.243004704892	0
#29642	#67259	0.379537207349	autocapacitación	0.384623197709	marcapáginas	0.392757022784	punto céntrico	0.392993533698	#44509	0.396431785862	0
#83537	apagado	0.253685377558	#28249	0.260449107055	#14392	0.263656702186	#14979	0.264245590896	bravo	0.265506907902	0
control tower	mástil	0.210126355997	#111479	0.216726788966	#100301	0.23495826146	#87364	0.236758423829	calle de rodaje	0.238043924447	1	torre de control	0.240870256688
#41898	calzada	0.222647879987	#117177	0.226890220526	balsa	0.227003258789	#6190	0.2348254625	cala	0.238372600789	0
#192833	consejo constitucional	0.453864694896	#91238	0.455718733988	nulidad	0.459454881011	#260776	0.459568915692	en primera instancia	0.469955151399	1	#90588	0.719976547968
#313137	zona marítima	0.253245177139	#15360231	0.27256327636	#317797	0.282427950154	#10360272	0.283957930655	#71794	0.288059644174	1	#312437	0.429217956084
#221722	#216996	0.317984921644	#123714	0.320105367676	#216614	0.325181502242	#217230	0.32634430953	#216670	0.331946068451	0
mythology	mitología	0.202573036578	recitar	0.21679491125	#67446	0.218470782973	#21737	0.220643641709	novela	0.230562431955	0
street furniture	andén	0.230007832524	#82118	0.231452802935	#19279	0.233447433157	#82116	0.23376191335	#202737	0.234921366852	0
reexamination	#91232	0.472260635716	#204184	0.477253607953	sobreseimiento	0.486119263236	#65263	0.489520506942	#65264	0.492011928876	0
#29496	novela	0.254088364346	biografía	0.261718249565	#67446	0.264558045494	recitar	0.268467870461	antología	0.269573607821	0
incineration	#61897	0.202138605805	#34532	0.212075504299	incineración	0.216234572842	#233635	0.276763617707	gases de combustión	0.277595743046	0
www.reliefweb.int	#75882	0.323403007042	#202737	0.323606122465	enlazado	0.324090152348	#52158	0.324445964061	#200266	0.324651396815	0
miniaturized	espectrógrafo	0.182715583577	#2296	0.194004400857	silicio	0.196611469298	lidar	0.197355236133	#208415	0.200130890999	0
loses	#299364	0.337264729316	tumulto	0.340235115448	inflingieron	0.343012991873	#128581	0.344582540588	kadogo	0.345447862896	0
socialisation	socialización	0.380330182305	#236755	0.387280054039	autoestima	0.400264721535	#247267	0.412135792045	#121591	0.42539655758	0
#16419057	#35438	0.275707795641	pinga	0.28582466545	#308635	0.292061963439	plaza fuerte	0.296039119043	capital de la provincia	0.297602099387	0
very low frequency	#80088	0.183257383239	#200266	0.187393545246	fotométrico	0.189490277195	#200181	0.194773976009	interferómetro	0.198044551106	0
#141053	#86268	0.197272138157	lava	0.198515456226	#117177	0.204677065199	#70006	0.211182549494	#4863	0.213372432031	1	#86628	0.504085076161
mendicancy	#103711	0.276907294925	depravación	0.285749133529	libertinaje	0.290429214676	lascivo	0.291261567193	abuso deshonesto	0.295606359898	0
#203897	lava	0.197881268266	#70006	0.222088024271	ciervo	0.227235120355	araña	0.228551217874	zorro	0.230388495255	0
#116099	#99867	0.295777654618	nuer	0.296444062189	asalto aéreo	0.300104170136	#123262	0.301923373089	desfiladero	0.302854836122	0
#75731	pedazo	0.27407180547	#28249	0.275843440212	#49186	0.276800546399	#7790	0.278149037981	apretar	0.285158661709	1	#138983	1.04131722397
by the by	jefe del gobierno	0.397188615513	#254918	0.398550773322	gran duque	0.404081641596	#202024	0.40889234575	speaker	0.410945072435	0
#194186	hechor	0.321038164065	descarriado	0.325840453033	malhechor	0.326730497755	#218320	0.32809393828	victimario	0.332988467871	0
#147503	#261512	0.480415206713	#91238	0.486364606951	acto unilateral	0.490486009877	seriedad	0.495065412626	tribunal competente	0.495157765738	0
unhappiness	maldad	0.267498226715	#28225	0.268815463339	aflicción	0.27388678668	#10851	0.276576122746	cinismo	0.28284745683	1	infelicidad	0.340114408339
plotting	pinza	0.296694552002	boceto	0.304642930864	#10002	0.306903879584	babor	0.307348067805	#85719	0.312765973354	0
