switched	bendito	0
#90767	#217098	0
#57674	#71723	0
television system	tv	0
systemic	sistémico	0
morphology	morfología	5
moon	luna	0
#5013	#90038	0
archdiocese	arquidiócesis	0
#59096	#135452	0
#138854	#210032	2
shrinkage	retracción	0
#72903	#199101	0
good shape	estado de forma	0
economic system	economía	0
teethe	dentar	0
masculine	masculino	0
#36665	#44544	0
calomel	calomelanos	0
worse	peor	0
slaveholder	esclavista	0
#140580	#242300	0
#32069	#78779	0
#159732	#126372	0
#82341	#219271	0
embroider	bordar	0
#14359	#21429	0
incoherent	incoherente	4
#9790	#4780	0
#73204	#64166	0
cloister	claustro	0
#310172	#310482	5
#73209	#44983	0
manslaughter	homicidio involuntario	1
#152933	#77095	0
heliport	helipuerto	0
#30438	#128533	0
#145259	#199132	4
#31646	#199074	0
#63990	#51964	1
#13677	#48175	0
batch processing	procesamiento por lotes	0
channelize	canalizar	0
hymn	himno	0
#317329	#310619	4
#293892	#311886	5
carbon steel	acero al carbono	0
#75300	#85254	0
#179341	#232990	0
#31543	#105209	0
digital signal	señal digital	0
#70227	#208937	4
#31012	#243938	0
#44494	#42749	0
#91944	#39770	0
womb	útero	0
#98713	#67623	5
good sense	discernimiento	0
capacitor	condensador	3
miscarriage	aborto	0
detoxification	desintoxicación	4
#46612	#278	4
widening	ensancha	0
#43749	#71634	4
elaborate	explayar	0
#43979	#246001	0
#149619	#123088	0
historic archive	archivo histórico	0
climate control	acondicionador de aire	0
family	familia	5
#92853	#25186	0
sex crime	agresión sexual	0
#169136	#10515	0
plot	tejemaneje	0
supermajority	mayoría absoluta	0
#21451	#208976	0
remittance	depósito	0
#19385	#25259	0
#44056	#5052	2
authentification	certificación	0
alphabetic	alfabético	0
dogma	dogma	5
varying	irregular	0
room	habitación	1
challenge	desafío	5
entrapment	captura	0
#29041	#90112	0
scavenge	depurar	0
sulphide	sulfuro	0
#200230	#13579	0
religious order	secta	0
subsidisation	otorgamiento de subsidios	0
reserves	reserva	0
exclude	silenciar	0
#3703	#207902	0
rather	sino	5
aide-de-camp	edecán	0
#147702	#27900	0
how	manera	5
#31463	#204018	5
misleading	insidioso	0
toxic	sustancia venenosa	0
#200281	#95399	0
#97611	#52285	0
#24768	#63843	5
ladder	escalera	0
nuclear power station	central nuclear	5
magistracy	corregimiento	0
#11320	#119298	0
#308651	#255395	0
disagreeable	desagradable	0
right of defence	derecho a la defensa	4
tile	baldosa	4
cosmonaut	cosmonauta	5
mutagenesis	mutagénesis	0
#38647	#10209	4
xenophobia	xenofobia	4
appreciate	dar cuenta	0
liner	forro	0
#304841	#209044	0
ambivalence	ambivalencia	5
military justice	justicia castrense	0
reaper	segador	0
dread	ansiedad	0
#134766	#247759	5
#27934	#38253	0
geopolitics	geopolítica	1
identity crisis	crisis de identidad	5
#71498	#29755	0
paternalism	paternalismo	0
#192044	#11806	0
misconduct	culpa	0
#69059	#98372	0
#44220	#21141	3
#67103	#105425	0
heron	garza	0
mattress	colchón	4
signatory	firmante	0
#82644	#114795	0
#76326	#11456	0
turn down	mermar	0
policy	política	5
#48650	#66833	0
#30238	#30525	5
university student	universitario	0
exculpation	descargo	0
#41940	#87322	0
nob	cabeza	0
#38453	#296209	4
polis	polis	0
inception	origen	0
#97021	#91463	0
streamflow	corriente	0
hydroelectricity	energía hidroeléctrica	3
#169108	#114826	0
flight plan	plan de vuelo	5
#188258	#29710	4
insurable	asegurable	5
#69375	#64257	0
#66711	#138627	0
nitrite	nitrito	0
#213195	#112319	0
#78130	#42912	0
reenter	reincorporar	0
album	disco compacto	0
p	piano	0
new economy	nueva economía	4
#311548	#200129	0
#19973	#56141	0
federal government	gobierno federal	0
safety	seguro	5
#65275	#83141	0
#48874	#235680	0
#46544	#123553	0
#77332	#115250	0
#304601	#248354	4
inductive	inductivo	0
#46984	#23518	0
#94526	#106692	0
#91950	#9221	4
#317094	#314295	0
sport activity	estilo	0
copper	cobre	0
#75892	#1961	0
clandestinity	clandestinidad	0
#33886	#44364	0
#566	#63446	2
chemical engineer	ingeniero químico	5
indulgent	indulgente	4
#59845	#220687	0
leading	comandancia	0
#28126	#238451	4
upholder	velador	0
stuffed	relleno	0
intelligence	raciocinio	0
packing material	embalaje	0
#23433	#44635	0
#177952	#234331	0
sex offence	agresión sexual	0
#29110	#135657	5
#14943	#60262	0
#136631	#234255	5
typhoon	huracán	0
legatee	legatario	5
#192967	#133256	0
#76656	#29664	0
#14893	#31780	0
treatise	tratado	0
aspiration	anhelo	0
#834	#925	0
#4294	#46993	5
feel at home	entender	0
medical care	cuidados médicos	5
#93683	#218117	5
ink cartridge	cartucho de tinta	0
ingenious	fantasioso	0
#4574	#242372	5
old-age pension	jubilación	0
production capacity	capacidad de producción	5
reassuring	asegurador	0
angina	angina de pecho	0
conspiracy	conspiración	0
#47416	#15790	5
seen	observado	0
#137987	#208934	0
#133777	#123059	5
#89401	#68864	0
#186281	#216637	0
#170008	#131864	0
instrumentation	instrumento	0
#141489	#261579	5
#140231	#204198	0
chess	ajedrez	0
read-only memory	rom	0
#310618	#307251	2
#4078	#56567	4
#20201	#34045	0
high speed	alta velocidad	0
#73768	#2707	0
indemnification	indemnización	0
unfaithfulness	infidelidad	5
#46582	#85611	3
#63046	#116705	0
over and above	además de	0
observation	observación	5
#181532	#221015	5
mobile	teléfono celular	0
#14621	#28317	0
#166520	#132035	0
#127742	#322207	0
normally	por lo regular	0
applicator	aplicador	0
#34861	#6350	0
#58232	#91638	0
#30327	#103104	0
#194868	#53095	0
#85985	#42671	5
#38098	#11893	0
trivial	banal	4
#24570	#89387	0
#121912	#247430	4
#149644	#312298	0
paper trail	legajo	0
#168047	#26238	0
#177916	#52788	0
#19741	#314894	0
#30149	#67798	5
#76340	#54126	3
#37201	#91433	0
dependent	persona a cargo	0
well water	agua de pozo	5
hand down	pasar	0
expectation	expectativa	0
#4088	#70518	1
#38388	#204441	1
political sphere	arena política	0
enemy	enemigo	0
dormitory room	cuadra	0
high priest	prelado	0
trammel	limitar	0
major power	potencia	0
#95838	#218737	0
incorporator	socio fundador	0
approaching	acercamiento	0
determining factor	condicionante	0
fraternally	fraternalmente	0
solder	unificar	0
#165774	#3274	0
#197390	#315653	0
sell short	estafar	0
palette	paleta	0
mortgage	hipoteca	0
illusory	falaz	0
#59247	#58633	0
legitimize	formalizar	0
wean	destetar	0
erne	pigargo	0
#131465	#30162	0
sailing ship	velero	0
approval	ensalzamiento	0
#192857	#267070	0
#28894	#311168	0
shop window	escaparate	0
circumstantially	en extenso	0
#47588	#208367	3
#49116	#109429	0
calumniate	denigrar	5
#44178	#18659	4
exemplary	ejemplar	0
#149096	#77615	5
abortive	abortivo	0
design engineer	proyectista	0
#27710	#207645	0
#30594	#15113	0
#47829	#116530	0
dancer	bailarín	5
#179362	#100226	0
#167306	#100339	0
#187099	#32145	0
#190032	#90842	0
#91925	#7598	0
#28430	#111682	4
strategy	estrategia	5
#44772	#43670	0
#48741	#78979	5
waste	desaprovechamiento	0
#58017	#55250	5
#285813	#209890	0
#13726	#17181	0
#33846	#208307	3
#26717	#72522	4
#57651	#14364	1
toga	toga	0
civic responsibility	responsabilidad civil	0
#39451	#10842	0
#18938	#203736	0
socialist	socialista	0
volatilization	evaporación	0
ancient site	sitio arqueológico	1
#289128	#8175	0
#191818	#4534	0
#17809	#16614	0
#291595	#94787	0
crowning	proclamación	0
#67441	#45162	0
emancipating	liberador	0
technology	tecnología	5
#90859	#79050	0
alphabet	alfabeto	4
enumeration	recuento	0
essential amino acid	aminoácido esencial	5
smallpox	viruela	4
#1240	#128810	0
#24275	#56556	0
inscribing	grabado	0
swell	hinchar	0
#61485	#206984	0
energy unit	unidad de energía	0
v.	verso	0
#22348	#231514	0
moment	momento	0
waterfall	cascada	0
#39036	#4622	0
appreciable	apreciable	0
pleasantly	gratamente	0
mortgagee	acreedor hipotecario	0
recurrently	repetidamente	0
game	juego	0
#309554	#246941	0
#63069	#15464	4
working person	empleado	0
#46796	#90708	0
notice board	tablón de anuncios	3
unfair	inicuo	0
chemical and biological warfare	arma de destrucción masiva	0
#155438	#275452	3
inflammatory	incendiario	0
wind erosion	erosión eólica	3
active site	sitio activo	0
#305624	#313468	0
resumé	currículum vitae	0
photographic material	papel fotográfico	0
tight	ajustado	0
#45615	#219637	0
#149917	#207526	3
astonishment	estupor	0
#217952	#4662	0
theorem	teorema	0
insurance policy	póliza de seguro	4
departure lounge	recibidor	0
#136192	#248134	5
#156566	#91592	0
cultural	cultural	5
#67836	#135874	0
crusher	molino	0
#160365	#10409	0
proponent	adicto	0
worsening	exacerbación	0
#116773	#120122	0
#96658	#32186	0
operating cost	coste de explotación	0
#30005	#16245	0
#86094	#38449	0
#34574	#44794	4
#33208	#40703	0
#119548	#238652	0
#14117	#20222	0
back	espalda	0
#212751	#204988	0
#77617	#5070	0
#23869	#7626	0
#4844	#79466	0
#1593	#44936	5
#158877	#96623	0
rehearse	ensayar	0
#14984	#21748	0
pioneer	pionero	0
#2657	#80299	0
corrosive	corrosivo	0
constitute	constituir	5
commentator	comentarista	0
pepper	pimienta	1
pay out	erogar	0
cove	angra	0
#15512	#107537	0
maquila	maquiladora	5
#316428	#314529	0
#62990	#78183	0
dormant	inactivo	0
rallying	rally	0
#83978	#39495	0
#88649	#40445	5
palisade	valla	0
#152106	#38814	0
#88036	#28704	0
pistachio	pistacho	0
#170982	#6544	0
#62907	#75575	5
digital video disc	dvd	0
#71273	#43394	5
stratagem	artificio	0
equally	parejamente	0
strong acid	ácido fuerte	0
microorganism	microorganismo	5
#63932	#4206	0
#312	#247917	0
nonsense	paradoja	0
#2875	#44814	5
balanced	balanceado	0
#97670	#11732	0
dressing room	vestuario	0
#200075	#121924	0
#1475	#48028	5
ensuant	resultante	0
repeater	repetidor	5
#48850	#56869	0
#96581	#25487	3
#164489	#120970	0
#57424	#63975	0
#304213	#202232	5
#195355	#317826	0
native land	suelo natal	0
#123985	#873	0
#15862	#17400	0
#46400	#80084	0
#97359	#72454	0
agronomic	agrónomo	0
scoliosis	escoliosis	0
subprefecture	subprefectura	4
extreme right	ultraderecha	0
#186802	#120961	0
tonne	salma	0
#97523	#55611	0
take on	asumir	0
#3874	#44797	4
#98158	#73204	4
#74517	#28394	1
phytosanitary	fitosanitario	4
#79122	#275092	5
#27771	#307759	5
#85676	#49814	0
#29913	#83257	2
activeness	laboriosidad	0
#30425	#12259	0
#67730	#104500	0
#161029	#308207	0
sloping	avieso	0
#86873	#205188	0
#146305	#42310	0
miscellaneous	heterogéneo	0
#33334	#66914	0
deathbed	lecho de muerte	0
geomorphic	geomorfológico	0
#15004	#71476	5
developing nation	país subdesarrollado	0
#31323	#314614	0
scrap iron	chatarra	0
ramification	ramificación	0
#136373	#204116	5
#87672	#10213	0
