radio receiver	radiorreceptor	0
pedestrian crossing	paso de peatones	0
pardon	perdón	0
fig.	figura	0
reversibility	reversibilidad	0
controversial	discutido	0
preface	prefacio	0
captain	patrón	0
self-reliant	árbitro	0
trolley	tranvía	0
eligible	calificado	0
disability	invalidez	5
cellular telephony	telefonía celular	0
taxation law	ley tributaria	0
stipulate	estipular	0
pigment	pigmento	0
utmost	apogeo	0
smog	smog	5
anemia	anemia	5
vector	rayo	0
delegate	representante	0
cloudiness	nubosidad	0
machine-gun	ametralladora	0
triennium	trienio	0
chew	masticación	0
bimonthly	bimestral	0
specially	especialmente	3
advance information	avance informativo	0
elegant	aristocrático	0
likely	fácil	0
for good	para siempre	0
aromatic hydrocarbon	hidrocarburo aromático	1
shining	pulimento	0
orchestra	orquesta	5
spinal column	columna vertebral	0
pragmatism	pragmatismo	5
chain store	cadena comercial	0
kindred	parentela	0
sunspot	peca	0
metaphorically	metafóricamente	0
beck	arroyo	0
word processing	tratamiento de textos	0
video clip	videoclip	0
logarithmic	logarítmico	0
soil conservation	conservación de suelos	0
distinctness	disonancia	0
food irradiation	irradiación de alimentos	0
taper	vela	0
settler	colono	0
black hole	agujero negro	3
hearing loss	sordera	0
settled	saldado	0
target program	programa objeto	0
insult	tratada	0
survive	sobrevivir	0
fragmentary	fragmentario	0
relax	distraer	0
overstretch	distender	0
excellent	mejor	0
electric motor	motor eléctrico	0
adamant	diamante	0
divorced	divorciado	5
accomplishment	cumplimiento	0
payback period	plazo de recuperación	0
emotional state	estado de ánimo	0
airstrip	pista de aterrizaje	5
peaceful coexistence	coexistencia pacífica	0
climax	furor	0
fish meal	harina de pescado	0
power cable	cable de alimentación	0
dyke	dique	5
preferable	preferible	0
construe	interpretar	0
hallucinogen	alucinógeno	0
loyalty	lealtad	5
clerical	clerical	0
birth control pill	píldora	0
back end	revés	0
law	decreto	5
satellite link	conexión satelital	0
undesired	indeseado	0
splendid	suntuoso	0
effective	virtuoso	5
green	verde	0
sterilisation	esterilización	0
modesty	modestia	4
deform	deformar	0
phone call	llamada	0
devote	afanar	0
proportionate	razonable	0
fidelity	lealtad	0
before	antes	5
debt management	gestión de la deuda	0
destroyed	destruido	0
international convention	convenio internacional	0
hold fast	adherir	0
production	generación	5
tax relief	deducción fiscal	5
rifle butt	culata	3
eventually	de cabo	0
dec.	declaración	0
safe	caja de seguridad	0
diseased	patológico	0
fruit tree	frutal	0
unionist	unionista	0
sixteen	dieciséis	0
hydrochloride	clorhidrato	0
anion	anión	0
body guard	guardaespaldas	5
rolling mill	laminador	0
absolve	absolver	0
in toto	continuo	0
population density	densidad de población	5
arrow	flecha	0
depth charge	carga de profundidad	3
associative	asociativo	5
militaristic	armamentista	0
work-out	gimnasia	0
exarchate	exarcado	0
garment	atuendo	0
drug-resistant	rebelde	0
prawn	carabinero	0
first-class	mejor	0
geographical region	territorio	1
driving	conducción	0
biological weapon	arma bacteriológica	0
crucial	determinante	0
organic law	constitución	5
strategist	estratégico	0
military court	tribunal militar	0
alkane	alcano	0
p.c.	porcentaje	0
chromosomal	cromosómico	0
estimate	tanteo	0
substantiation	confirmación	0
military base	base militar	0
transition point	temperatura de transición	0
heading	título	0
caprice	capricho	2
speedy	suelto	0
