datum	punto de datos	0
undisputed	indiscutido	2
monetary system	sistema monetario	5
xxii	veintidós	0
sunlit	soleado	0
tree trunk	tronco	0
adjoin	confinar	0
public phone	locutorio	0
football match	encuentro de fútbol	0
heterogeneity	variedad	0
national income	renta nacional	5
parcel	envase	0
pin down	agudizar	0
dependant	persona a cargo	0
fan	fan	0
rationality	racionalidad	5
ophthalmologist	oculista	1
washing	lavado	0
homogenize	estandarizar	0
knight	caballero	0
misinformation	desinformación	0
postural	postural	0
frozen	gélido	0
despairing	desesperado	0
south-west	suroeste	0
distasteful	macabro	0
image map	mapa de imágenes	5
word of farewell	adiós	5
cabling	cableado	5
second-in-command	vicecomandante	0
pincer	tenaza	0
disciplined	disciplinado	5
wherefore	porqué	0
local post office	correos	0
resound	sonar	0
tormentor	torturador	0
maverick	anómalo	0
body	estampa	0
defalcation	depredación	0
flagrancy	flagrancia	0
gge	garage	0
pursuit	acechanza	0
relaxation	suavización	0
cult	culto	0
opiate	opiáceo	5
precis	sinopsis	0
buss	beso	0
cache	acaparar	0
cosmetic	cosmético	5
bloody	ensangrentar	0
water pollution	contaminación del agua	4
circumscribe	limitar	0
sermon	sermón	1
desaparecido	detenido desaparecido	5
ominous	funesto	5
music	actividad musical	0
furor	boga	0
lessened	caído	0
preserved	conservado	0
brisk	apresurado	0
apparent	palmario	0
basalt	basalto	5
hurt	penalidad	0
varying	irregular	0
unnumbered	innumerable	0
disrobe	desnudar	0
shoot	rebrote	0
depiction	delineación	0
arched	pando	0
science	disciplina científica	2
athlete	deportista	0
prov.	región federal	0
military area	área militar	0
stolen property	despojo	0
carrot	zanahoria	0
indolence	indolencia	2
mechanical engineer	ingeniero mecánico	2
molecular weight	peso molecular	0
pick	concurso público	0
free time	vagar	0
laboratory test	prueba de laboratorio	4
immoderate	desenfrenado	0
indulgence	indulgencia	0
thirsty	sediento	0
pleasure boat	embarcación de recreo	5
loco	enajenado	0
high	alto	5
minimum	mínimo	5
spa	balneario	4
concordant	favorable	0
cultivate	cultivar	4
crystallized	cristalizado	0
fish meal	harina de pescado	0
newspaper article	suceso	0
ceremony	rito	0
transfer rate	velocidad de transmisión de datos	0
desulphurization	desulfuración	0
dialysis	diálisis	0
sermonize	moralizar	0
bad faith	mala fe	5
strongroom	cámara acorazada	0
prognosis	pronóstico	0
hypersensitivity	hipersensibilidad	0
earnings	salario	4
instead	en cambio	5
later on	más tarde	0
public defender	letrado de oficio	0
dive	zambullir	0
incumber	embargar	0
outlandish	excéntrico	0
ethnic	étnico	4
gourde	gourde	5
dove	paloma	0
hang up	colgar	0
right of defence	derecho a la defensa	5
baggage	maleta	3
buy in	repostar	0
stevedore	descargador	0
lagoon	albufera	0
scintillation	brillo	0
irregularity	extrañeza	0
fade out	borrar	0
accounting operation	operación contable	0
sperm	semen	0
radar	radar	0
enclose	abrazar	0
circumscribed	limitado	0
installer	instalador	0
economic indicator	indicador económico	4
beef cattle	ganado	0
target shooting	tiro al blanco	5
timing device	temporizador	0
plantation	plantación	5
attraction	interés	0
visible light	luz	0
farmer	agrícola	5
laterite	laterita	2
tidal energy	energía de las mareas	4
archival	archivístico	0
flex	inflexión	0
exculpation	descargo	0
swordfish	pez espada	5
depopulate	despoblar	5
indigenous	autóctono	5
polder	pólder	0
flea	pulga	5
realize	concienciar	3
regionalism	regionalismo	5
mixed economy	economía mixta	5
enviable	envidiable	5
slavery	esclavitud	5
supply system	red de distribución	0
phonetic	difuso	0
counsellor	valido	0
financial	fiscal	5
pillaged	expoliado	0
crushing	sofocación	0
oppressed	oprimido	5
haematological	hematológico	0
deficiency	faltante	0
inflated	inflado	5
prostate	próstata	0
oedema	edema	5
proofreader	corrector de pruebas	3
labor force	fuerza del trabajo	0
second language	idioma extranjero	0
radio station	estación emisora	0
irony	ingenio	0
copepod	copépodo	0
oriental	asiático	0
formula	fórmula	5
postpone	reservar	0
work unit	unidad de energía	0
sensory	sensorial	5
superimpose	superponer	0
give in	ceder terreno	0
perform	hacer	5
lease contract	leasing	3
parish council	intendencia municipal	0
be distant	distar	0
steward	auxiliar de vuelo	0
